f_blood,f_fat,f_water,f_mel,f_col,SO2,total_ratio,count
1.0,0.0,0.0,0.0,0.0,0.7743139541163702,1.0,1.0
1.0,0.0,0.0,0.0,0.0,0.6272123386677706,1.0,1.0
1.0,0.0,0.0,0.0,0.0,0.43799097031933426,1.0,1.0
1.0,0.0,0.0,0.0,0.0,0.8882670673505508,1.0,1.0
1.0,0.0,0.0,0.0,0.0,0.4229744255217534,1.0,1.0
1.0,0.0,0.0,0.0,0.0,0.6449958328246908,1.0,1.0
1.0,0.0,0.0,0.0,0.0,0.599806171674963,1.0,1.0
1.0,0.0,0.0,0.0,0.0,0.4061706147187548,1.0,1.0
1.0,0.0,0.0,0.0,0.0,0.6814006724112748,1.0,1.0
1.0,0.0,0.0,0.0,0.0,0.8396696614307464,1.0,1.0
1.0,0.0,0.0,0.0,0.0,0.403174922525593,1.0,1.0
1.0,0.0,0.0,0.0,0.0,0.494159833983358,1.0,1.0
1.0,0.0,0.0,0.0,0.0,0.5516317564373308,1.0,1.0
1.0,0.0,0.0,0.0,0.0,0.6593903030312718,1.0,1.0
1.0,0.0,0.0,0.0,0.0,0.4199570748253804,1.0,1.0
1.0,0.0,0.0,0.0,0.0,0.6678397516706,1.0,1.0
1.0,0.0,0.0,0.0,0.0,0.4933304223639535,1.0,1.0
1.0,0.0,0.0,0.0,0.0,0.40944955659223614,1.0,1.0
1.0,0.0,0.0,0.0,0.0,0.8043702161838007,1.0,1.0
1.0,0.0,0.0,0.0,0.0,0.6878487700488389,1.0,1.0
1.0,0.0,0.0,0.0,0.0,0.42372472889182444,1.0,1.0
1.0,0.0,0.0,0.0,0.0,0.5626077029309419,1.0,1.0
1.0,0.0,0.0,0.0,0.0,0.5947363073613934,1.0,1.0
1.0,0.0,0.0,0.0,0.0,0.8686122155256122,1.0,1.0
1.0,0.0,0.0,0.0,0.0,0.8932989554380162,1.0,1.0
1.0,0.0,0.0,0.0,0.0,0.4915529235991738,1.0,1.0
1.0,0.0,0.0,0.0,0.0,0.8105626560521781,1.0,1.0
1.0,0.0,0.0,0.0,0.0,0.8185294113180117,1.0,1.0
1.0,0.0,0.0,0.0,0.0,0.832436117275973,1.0,1.0
1.0,0.0,0.0,0.0,0.0,0.5565607701580406,1.0,1.0
