f_blood,f_fat,f_water,f_mel,f_col,SO2,total_ratio,count
0.00927260244925658,0.0,0.7417400458378204,0.009504968146789777,0.1363903333525255,0.7237313960313905,0.8969079497863922,1.0
0.009467226592741854,0.0,0.6604124833108643,0.011386607028718269,0.18463831287698715,0.6690001432526624,0.8659046298093117,2.0
0.009946353313006329,0.0,0.7449346885922946,0.010777825904215398,0.194782789787763,0.7064239765588314,0.9604416575972793,2.0
0.009766967750418994,0.0,0.7271259764430424,0.010102928461205534,0.16259710324215,0.7143160127227532,0.9095929758968169,1.0
0.003554175981347102,0.0,0.7544641519093436,0.010317237624359139,0.14282232855125726,0.6580094363746829,0.911157894066307,4.0
0.03990168559760112,0.0,0.6831815722873463,0.010257972062022308,0.12384121471426948,0.7384843544070718,0.8571824446612392,4.0
0.0359315327146487,0.0,0.6716243157040336,0.008188339575004134,0.1412045859540185,0.6677395137642815,0.8569487739477049,2.0
0.021730387351163817,0.0,0.6950150539452551,0.00912492984164278,0.10425062117834855,0.7134673272198384,0.8301209923164103,5.0
0.013150055252035203,0.0,0.6944045533887369,0.010518808444399409,0.17367830830601838,0.7034385100258385,0.8917517253911899,4.0
0.02489258638844856,0.0,0.7711649660046183,0.01067564038009857,0.16773413982227034,0.7463529903056679,0.9744673325954358,2.0
0.02850705034695302,0.0,0.6923873081185207,0.008444365339625984,0.19378643099276466,0.7014241661927059,0.9231251547978643,1.0
0.03865638526463244,0.0,0.6624657916831602,0.008198578490783473,0.19053114744980737,0.720318404722103,0.8998519028883835,1.0
0.0317362092982282,0.0,0.6658259827030593,0.010105375409389987,0.1083187506493424,0.6691397681690888,0.8159863180600198,2.0
0.02629415628094723,0.0,0.7671840337635525,0.00962815218990147,0.19777190620371451,0.6674273058191729,1.0008782484381156,1.0
0.020264620510093027,0.0,0.6757528746309523,0.010868254578747434,0.19603903723277774,0.6509312484957984,0.9029247869525705,5.0
0.017279924698200465,0.0,0.7116512105036314,0.008528662703803182,0.18263271549701332,0.7275536248071357,0.9200925134026484,2.0
0.015996736413183103,0.0,0.6902148202937655,0.009899333995729922,0.11862763485670536,0.6763273388660008,0.8347385255593839,3.0
0.038037078293507595,0.0,0.7382226274920807,0.008381445355673306,0.172326249973979,0.6689088675034942,0.9569674011152405,6.0
0.03589377149657417,0.0,0.699765574766002,0.009811457739016264,0.18811702628556748,0.6992013553464882,0.9335878302871599,2.0
0.005186924100384724,0.0,0.7240031073897238,0.01185626307710032,0.19495742568597835,0.7348367031784898,0.9360037202531872,1.0
0.017819066971102325,0.0,0.6660067945718562,0.011322494102327012,0.19986335753467507,0.6855364769389874,0.8950117131799606,3.0
0.0272325310431821,0.0,0.6914979501866944,0.010805785891976498,0.10873171053667208,0.6943187566972515,0.838267977658525,7.0
0.0030996446268175245,0.0,0.7404228671085311,0.008866206809643054,0.1231881426521047,0.670935733782271,0.8755768611970964,2.0
0.03854248150042029,0.0,0.7245112137267371,0.00838128623492848,0.17606596242977762,0.7052497603750263,0.9475009438918636,2.0
0.02879397766322702,0.0,0.6836694626277241,0.009440481009554896,0.1729608566507908,0.6545616237857108,0.8948647779512968,3.0
0.010206560446837121,0.0,0.6898962459351126,0.010131196441158162,0.1673504843150871,0.6860387549170285,0.8775844871381948,3.0
0.005221792171557673,0.0,0.7090454812130234,0.011149452361760445,0.16953768806034236,0.7263176565208175,0.8949544138066838,19.0
0.01713456297868004,0.0,0.7014259688624068,0.011313706300027784,0.12685519900095488,0.6980797952671441,0.8567294371420695,12.0
0.0215749689198962,0.0,0.7767384513466361,0.008454153900789296,0.14191550801088992,0.6639395494395025,0.9486830821782115,6.0
0.010163096879170901,0.0,0.6967067907219533,0.011276587765563083,0.17359820211660532,0.6856104113713927,0.8917446774832927,3.0
